time_since,sentiment_score,f0_
-833,0,1
-657,0,1
-568,0,1
-429,0,1
-85,0,1
-628,-0,1
-202,-0,1
814,-0,1
-435,-2,1
-407,0.5,1
-332,-0.5,1
5300,-0.5,1
1388,-1,1
-737,-1.5,1
-511,0.3,1
-347,0.3,1
5347,0.3,1
-540,-0.3,1
182,-0.3,1
211,-0.3,1
247,-0.3,1
-757,-0.6,1
-753,-0.6,1
-583,-0.6,1
-51,-0.6,1
192,-0.6,1
1092,-0.6,1
1336,-1.2,1
-644,0.7,1
-836,1.4,1
-771,0.1,1
-612,0.1,1
-600,0.1,1
254,0.1,1
261,0.1,1
516,0.1,1
-317,-0.1,1
-261,-0.1,1
457,-0.1,1
2871,-0.1,1
-812,0.2,1
-807,0.2,1
-377,0.2,1
-283,0.2,1
-698,-0.2,1
-577,-0.2,1
-448,-0.2,1
-211,-0.2,1
238,-0.2,1
-181,0.4,1
-716,-0.4,1
-396,-0.4,1
371,-0.4,1
-82,0.8,1
378,-0.8,1
592,-0.8,1
1077,-0.8,1
1082,-0.8,1
1101,-1.6,1
1378,-1.6,1
-475,-0.9,1
-138,-0.9,1
-687,0,2
-107,0,2
-480,-0,2
-173,-0,2
-162,-0,2
-141,-0,2
-712,-0.5,2
-78,-0.5,2
2958,-1,2
171,-0.3,2
-175,-0.6,2
-723,0.1,2
-546,0.1,2
-468,-0.1,2
-452,-0.1,2
-417,-0.1,2
-334,-0.1,2
-326,-0.1,2
-254,-0.1,2
176,-0.1,2
-845,0.2,2
-828,0.2,2
-798,0.2,2
-151,0.2,2
-851,-0.2,2
-727,-0.2,2
-502,-0.2,2
-186,-0.2,2
-73,-0.2,2
-472,0.4,2
-111,-0.4,2
-692,-0.8,2
-518,0.5,3
-237,0.5,3
-673,-0.5,3
-557,0.3,3
-463,0.3,3
-353,-0.3,3
-307,-0.3,3
-168,-0.3,3
-343,-0.1,3
-288,-0.1,3
-299,0.2,3
-638,-0.2,3
-493,-0.2,3
-372,-0.2,3
186,-0.4,3
-242,0.9,3
96,-0.3,259
-98,0,4
-232,0.5,4
-228,-0.3,4
-125,-0.3,4
-802,0.1,4
-58,0.1,4
-38,0.1,4
-428,0.2,4
-313,-0.2,4
-295,-0.2,4
-63,-0.4,4
-323,0,5
-42,0,5
161,-0.3,5
-47,-0,6
-66,0.6,6
26,-0.4,264
156,-0.3,10
66,-0.3,266
-23,0.2,12
-33,0,15
151,0.1,15
-28,0.4,15
-18,0,23
61,-0.3,288
146,-0.2,37
-13,0,42
-8,0,49
141,-0.1,109
46,-0.2,116
76,-0.3,129
136,-0.1,130
121,-0.1,132
16,-0,138
31,-0.2,138
-3,0.1,142
6,0.1,150
41,-0.2,151
21,-0.2,154
116,-0.1,155
126,-0.2,156
71,-0.2,164
81,-0.2,164
106,-0.2,164
131,-0.2,182
101,-0.3,183
56,-0.2,189
36,-0,195
111,-0.2,203
51,-0.3,222
86,-0.3,230
91,-0.3,241
11,0,251
