time_since,sentiment_score,f0_
-3,0.0,232
146,0.0,52
-63,-0.0,13
-53,-0.0,14
-43,-0.0,8
16,-0.0,360
31,-0.0,198
46,-0.0,218
81,-0.0,232
91,-0.0,409
269,-0.0,1
633,0.3,1
-47,-0.3,10
11,-0.3,418
136,-0.3,229
-67,0.1,12
-33,0.1,20
-23,0.1,33
-13,0.1,70
-8,0.1,94
26,0.1,465
41,0.1,305
173,0.1,1
-28,-0.1,25
-18,-0.1,44
21,-0.1,218
61,-0.1,589
66,-0.1,257
71,-0.1,202
76,-0.1,174
86,-0.1,350
96,-0.1,391
111,-0.1,236
131,-0.1,231
141,-0.1,289
151,-0.1,15
156,-0.1,4
167,-0.1,5
284,-0.1,1
-58,0.2,7
-37,0.2,11
6,-0.2,239
36,-0.2,286
51,-0.2,364
56,-0.2,307
101,-0.2,226
106,-0.2,243
116,-0.2,252
121,-0.2,144
126,-0.2,185
161,-0.2,7
181,-0.2,3
258,-0.2,1
200,-0.8,1
637,-0.8,1
