time_since,sentiment_score,f0_
-825,0,1
-584,0,1
-221,0,1
-65,0,1
-735,-0,1
-718,-0,1
-669,-0,1
-285,-0,1
-158,-0,1
-142,-0,1
-846,0.5,1
-117,0.5,1
3100,0.5,1
-406,-0.5,1
-229,-0.5,1
-769,1,1
-571,-1,1
206,0.3,1
-629,-0.3,1
-426,-0.3,1
-61,-0.3,1
340,-0.3,1
3055,-0.3,1
-354,-0.6,1
-348,-0.6,1
-57,-0.6,1
-532,-0.7,1
-119,-0.7,1
3060,-1.4,1
-649,0.1,1
-642,0.1,1
-509,0.1,1
-445,0.1,1
-274,0.1,1
212,0.1,1
2979,0.1,1
3094,0.1,1
-126,-0.1,1
-104,-0.1,1
2945,-0.1,1
9357,-0.1,1
-418,0.2,1
-371,0.2,1
-682,-0.2,1
-440,-0.2,1
-315,-0.2,1
-249,-0.2,1
-211,-0.2,1
-178,-0.2,1
812,-0.2,1
-691,0.4,1
-379,0.4,1
-377,0.4,1
-541,-0.4,1
-330,-0.4,1
-300,-0.4,1
-85,0.8,1
-794,-0.8,1
-665,-0.8,1
-465,-0.8,1
-228,-0.8,1
5787,-2.6,1
-562,0.9,1
-779,1.3,1
-758,0,2
196,0,2
-475,-0,2
188,-0,2
-521,0.5,2
-613,-0.5,2
-646,0.3,2
-412,0.3,2
-202,0.3,2
-553,-0.3,2
-328,-0.3,2
-777,0.1,2
-603,0.1,2
-598,0.1,2
-582,0.1,2
-113,0.1,2
-803,-0.1,2
-208,-0.1,2
-810,0.2,2
-636,0.2,2
-628,0.2,2
-618,0.2,2
-193,0.2,2
-172,0.2,2
-152,0.2,2
-851,-0.2,2
-788,-0.2,2
-815,0.4,2
178,0.4,2
-537,-0.4,2
-526,-0.4,2
5909,-0.4,2
-726,1.1,2
-238,0,3
162,0,3
-493,-0,3
-258,-0.3,3
-273,0.6,3
-298,-0.6,3
157,-0.6,3
-281,-0.1,3
-247,-0.1,3
-217,-0.1,3
-578,0.2,3
-195,0.2,3
-53,-0.2,3
166,-0.4,3
-148,-0.5,4
-188,-0.3,4
-48,-0.3,4
-71,-0.2,4
-133,-0.5,5
172,-0.5,5
-268,-0.1,5
-293,0.2,5
-98,-0.3,6
-33,0.1,7
-42,0.2,8
-28,0,9
-23,0,10
151,-0.2,10
-17,0.1,11
-38,0,13
-12,-0.1,14
-8,-0.2,27
146,-0.3,33
76,-0.2,64
141,-0.1,80
11,-0.2,90
111,-0.1,94
16,-0.3,96
31,-0.3,100
-3,-0.1,100
71,-0.3,105
86,-0.2,112
126,-0.3,116
21,-0.2,117
41,-0.1,120
101,-0.1,129
91,-0.3,132
66,-0.3,136
56,-0.3,137
51,-0.3,140
116,-0.2,141
6,-0.3,142
96,-0.2,142
36,-0.2,145
121,-0.2,148
81,-0.2,149
61,-0.4,149
131,-0.2,151
46,-0.2,154
136,-0.3,156
106,-0,166
26,-0.3,198
