time_since,sentiment_score,f0_
-481,0,2
-16,0,5
-8,0,31
66,0,90
131,0,148
-489,-0,2
-117,-0,1
-3,-0,69
11,-0,80
46,-0,118
126,-0,136
182,-0,1
-712,0.5,1
-598,0.5,1
151,0.5,11
256,0.5,1
-463,-0.5,4
-448,-0.5,2
-129,-0.5,1
-82,-0.5,2
-741,1,1
-188,-1,1
-121,0.3,1
-550,-0.3,2
-127,-0.3,3
-13,-0.3,12
26,-0.3,84
31,-0.3,97
36,-0.3,113
41,-0.3,77
56,-0.3,108
76,-0.3,65
91,-0.3,118
111,-0.3,152
168,-0.3,2
188,-0.3,2
-146,0.6,1
-373,-0.6,1
-361,-0.6,1
-71,-0.6,1
217,-0.6,1
-655,1.7,1
-443,0.7,3
-626,0.1,2
-546,0.1,1
-168,0.1,2
-61,0.1,3
-32,0.1,1
141,0.1,315
156,0.1,8
-113,-0.1,3
-78,-0.1,3
-43,-0.1,4
16,-0.1,110
51,-0.1,101
61,-0.1,136
81,-0.1,133
86,-0.1,106
96,-0.1,78
101,-0.1,103
116,-0.1,140
136,-0.1,153
146,-0.1,123
-638,0.2,1
-616,0.2,1
-488,0.2,3
-137,0.2,1
6,0.2,94
-761,-0.2,1
-644,-0.2,1
-93,-0.2,4
-56,-0.2,5
-53,-0.2,6
-46,-0.2,4
-36,-0.2,2
-28,-0.2,3
-23,-0.2,6
21,-0.2,74
71,-0.2,93
106,-0.2,69
121,-0.2,169
221,-0.2,1
-212,0.4,1
-199,0.4,1
-438,-0.4,4
-107,-0.4,2
-103,-0.4,3
-433,-0.8,1
161,-0.8,1
-692,-1.1,1
-96,-1.1,1
-754,0.9,1
