time_since,sentiment_score,f0_
-618,0,1
-569,0,1
-555,0,1
-438,0,1
-28,0,10
-13,0,18
-8,0,30
-3,0,75
-789,2,1
-806,-0,1
-746,-0,1
-577,-0,1
-281,-0,1
-202,-0,1
-181,-0,2
-52,-0,5
36,-0,154
76,-0,111
86,-0,119
498,-0,1
-763,0.5,2
-295,0.5,1
-220,0.5,1
-630,-0.5,1
-480,-0.5,1
-178,-0.5,3
171,-0.5,8
-592,0.3,1
-532,0.3,3
-368,0.3,2
-251,0.3,2
-161,0.3,1
-768,-0.3,2
-562,-0.3,1
-403,-0.3,2
-289,-0.3,1
-188,-0.3,1
-103,-0.3,3
-82,-0.3,3
11,-0.3,90
46,-0.3,103
56,-0.3,314
96,-0.3,129
101,-0.3,148
111,-0.3,163
116,-0.3,282
121,-0.3,228
146,-0.3,274
151,-0.3,48
166,-0.3,4
364,-0.3,1
-797,0.6,1
-731,0.6,1
-686,0.6,1
-205,0.6,1
-91,0.6,1
-55,0.6,4
243,0.6,1
-420,-0.6,1
-370,-0.6,1
-348,-0.6,1
-228,-0.6,2
-157,-0.6,1
216,-0.6,1
-246,0.7,4
-265,1.4,2
-735,0.1,2
-708,0.1,2
-648,0.1,2
-478,0.1,3
-278,0.1,5
-193,0.1,2
-17,0.1,5
31,0.1,209
1138,0.1,1
-698,-0.1,1
-524,-0.1,1
-518,-0.1,1
-505,-0.1,2
6,-0.1,113
91,-0.1,81
126,-0.1,184
-843,0.2,2
-819,0.2,1
-740,0.2,1
-727,0.2,2
-700,0.2,2
-611,0.2,2
-511,0.2,1
-108,0.2,4
-73,0.2,6
-68,0.2,3
-39,0.2,2
-38,0.2,3
-33,0.2,5
197,0.2,1
269,0.2,1
380,0.2,1
-851,-0.2,1
-717,-0.2,3
-710,-0.2,1
-568,-0.2,2
-542,-0.2,3
-429,-0.2,1
-352,-0.2,2
-285,-0.2,2
-133,-0.2,5
-77,-0.2,4
-63,-0.2,2
-23,-0.2,7
16,-0.2,145
21,-0.2,154
26,-0.2,164
41,-0.2,169
51,-0.2,121
61,-0.2,210
66,-0.2,129
71,-0.2,69
131,-0.2,217
136,-0.2,218
141,-0.2,214
161,-0.2,12
570,-0.2,1
-538,0.4,4
-486,-0.4,2
-145,-0.4,1
-141,-0.4,3
-116,-0.4,3
-112,-0.4,3
81,-0.4,140
106,-0.4,277
156,-0.4,14
204,-0.4,1
-48,0.8,1
-98,-0.8,2
-305,1.6,1
-273,0.9,1
