time_since,sentiment_score,f0_
-58,0,6
-38,0,48
-33,0,62
121,0,73
156,0,1
197,0,2
111,-0,737
126,-0,21
771,-0,1
883,-0,1
1041,-0,1
4966,-0,1
167,-0.5,5
747,-0.5,1
4411,-0.5,3
4419,-0.5,2
184,0.3,1
-68,-0.3,8
-13,-0.3,221
-3,-0.3,636
6,-0.3,288
11,-0.3,429
16,-0.3,327
26,-0.3,401
36,-0.3,184
41,-0.3,173
46,-0.3,278
61,-0.3,249
96,-0.3,298
101,-0.3,411
147,-0.3,4
229,-0.3,1
739,-0.3,1
878,-0.3,1
742,0.6,1
212,-0.6,2
709,-0.6,1
777,-0.6,1
4408,-0.6,1
259,-1.9,1
-97,0.1,10
-72,0.1,7
-63,0.1,12
116,0.1,574
136,0.1,9
216,0.1,1
1533,0.1,1
-92,-0.1,9
-88,-0.1,5
-82,-0.1,8
-43,-0.1,33
-18,-0.1,288
51,-0.1,395
56,-0.1,227
86,-0.1,340
141,-0.1,11
172,-0.1,2
1447,-0.1,1
4431,-0.1,1
-53,0.2,12
206,0.2,3
690,0.2,1
-48,-0.2,21
-28,-0.2,159
-23,-0.2,285
-8,-0.2,270
21,-0.2,293
66,-0.2,436
71,-0.2,388
76,-0.2,330
81,-0.2,235
91,-0.2,377
106,-0.2,498
972,-0.2,1
1214,-0.2,1
4436,-0.2,1
191,0.4,2
-78,-0.4,5
31,-0.4,355
131,-0.4,10
162,-0.4,3
202,-0.4,2
758,-0.4,1
3901,0.8,1
262,-0.8,1
4384,-0.8,1
189,-0.9,3
4426,-0.9,2
