time_since,sentiment_score,f0_
-838,0,1
-833,0,2
-743,0,2
-708,0,1
-634,0,1
-606,0,1
-487,0,3
-446,0,1
-441,0,1
-407,0,1
-250,0,1
-218,0,3
-188,0,2
-140,0,2
-121,0,1
-108,0,3
-37,0,1
-13,0,21
2371,0,1
-840,-0,1
-763,-0,1
-703,-0,3
-502,-0,2
-381,-0,1
-295,-0,1
-137,-0,2
-131,-0,1
-23,-0,7
-17,-0,13
-3,-0,58
111,-0,156
136,-0,198
-179,0.5,1
-151,0.5,1
181,0.5,1
-680,-0.5,1
-534,1,1
-45,1,1
-576,0.3,1
-147,0.3,3
-55,0.3,1
-558,-0.3,1
-498,-0.3,1
-403,-0.3,1
-317,-0.3,2
6,-0.3,58
11,-0.3,74
16,-0.3,81
56,-0.3,192
81,-0.3,85
86,-0.3,210
91,-0.3,108
121,-0.3,209
963,-0.3,1
-790,0.6,1
-161,0.6,1
-29,0.6,1
1128,-0.6,1
2970,-0.6,1
-92,1.2,1
-819,0.7,1
-662,0.7,1
-468,-0.7,2
-787,0.1,1
-698,0.1,1
-549,0.1,1
-390,0.1,2
-190,0.1,2
146,0.1,233
634,0.1,1
-613,-0.1,2
-482,-0.1,2
-451,-0.1,1
-209,-0.1,1
-98,-0.1,3
-8,-0.1,32
21,-0.1,127
31,-0.1,92
36,-0.1,168
41,-0.1,90
61,-0.1,151
66,-0.1,79
76,-0.1,82
106,-0.1,174
141,-0.1,192
156,-0.1,16
161,-0.1,8
176,-0.1,2
-748,0.2,2
-722,0.2,1
-559,0.2,1
-431,0.2,1
-226,0.2,1
-172,0.2,1
-158,0.2,1
151,0.2,51
-851,-0.2,1
-272,-0.2,2
-27,-0.2,9
26,-0.2,184
46,-0.2,108
51,-0.2,146
71,-0.2,62
96,-0.2,174
101,-0.2,191
116,-0.2,217
131,-0.2,163
171,-0.2,3
552,-0.2,1
-590,0.4,1
-533,0.4,1
-177,0.4,2
-88,0.4,1
167,0.4,1
247,0.4,1
2872,0.4,1
-128,-0.4,1
-74,-0.4,1
-64,-0.4,1
126,-0.4,248
-619,1.1,1
3243,1.6,1
1193,-1.3,1
