time_since,sentiment_score,f0_
-170,0,1
110,0,1
145,0,1
195,0,1
-251,2,1
-848,-0,1
-655,-0,1
-584,-0,1
-304,-0,1
-263,-0,1
-215,-0,1
219,-0,1
-737,0.5,1
128,-0.5,1
-427,1,1
-835,-1,1
-581,-1.5,1
-340,0.3,1
9025,0.3,1
-436,-0.3,1
-281,-0.3,1
1052,-0.3,1
849,0.6,1
-620,-0.6,1
-556,-0.6,1
-316,-0.6,1
-290,-0.6,1
137,-0.6,1
-611,0.7,1
-374,-0.7,1
-833,0.1,1
-732,0.1,1
-641,0.1,1
-411,0.1,1
94,0.1,1
350,0.1,1
2435,0.1,1
-473,-0.1,1
-421,0.2,1
-334,0.2,1
-165,0.2,1
-726,-0.2,1
-607,-0.2,1
-501,-0.2,1
-498,-0.2,1
-287,-0.2,1
-181,-0.2,1
233,-0.2,1
-455,0.4,1
-752,-0.4,1
121,-0.4,1
276,-0.4,1
-703,0.8,1
-668,0.8,1
-590,-0.8,1
-547,-0.8,1
184,-0.8,1
1125,-0.8,1
-462,1.1,1
9028,-0.9,1
-576,0,2
-516,0,2
-175,0,2
71,-0,2
411,-0,2
-186,0.5,2
-646,-0.5,2
-353,-0.5,2
-356,0.3,2
-768,-0.3,2
-366,-0.3,2
-268,-0.6,2
-713,0.1,2
-572,0.1,2
-532,0.1,2
-508,0.1,2
101,0.1,2
-211,-0.1,2
-563,0.2,2
-543,0.2,2
-162,-0.2,2
-398,0.4,2
-851,-0.4,2
-553,-0.4,2
86,-0.4,2
-632,0.8,2
-272,0.8,2
-363,0.3,3
-153,0.3,3
-258,-0.3,3
-718,-0.6,3
-346,-0.6,3
-278,0.1,3
-222,0.1,3
-208,-0.2,3
-227,0,4
-788,-0,4
-146,0.3,4
-247,-0.3,4
66,-0.3,4
-193,0.2,4
-298,-0.2,4
-233,-0.2,4
-137,-0.2,4
-373,-0.4,4
-512,0.3,5
-128,0.3,5
-637,-0.6,5
76,-0.1,5
-158,0.2,5
-143,-0.4,5
61,0.5,6
-122,0,7
-238,-0.3,7
-118,-0,10
56,0.1,11
-108,0.2,19
-113,0,21
-103,0.1,34
-98,-0,38
-93,0,44
-23,-0.4,301
-43,-0.4,319
-33,-0.4,324
-38,-0.3,325
-3,-0.2,328
51,0.4,76
-88,-0.1,80
31,-0,91
-78,-0.2,102
-28,-0.4,381
36,-0.1,133
-73,-0.1,142
-8,-0.2,142
46,0,144
41,-0.1,147
-83,-0.2,153
16,-0.2,155
26,-0.1,156
-58,-0.3,162
6,-0.2,165
21,-0,171
11,-0.1,171
-13,-0.2,183
-68,-0.1,192
-53,-0.4,197
-63,-0.3,198
-48,-0.3,199
-18,-0.3,216
