time_since,sentiment_score,f0_
-158,0,12
-133,0,13
-103,0,59
-93,0,89
-43,0,460
-28,0,664
-18,0,259
36,0,366
121,0,2
253,0,1
944,0,1
-163,-0,7
-153,-0,10
-143,-0,17
-138,-0,21
-128,-0,13
-98,-0,89
-53,-0,364
-38,-0,437
-13,-0,198
-8,-0,186
16,-0,456
21,-0,342
41,-0,464
118,-0,1
-168,0.3,11
-73,-0.3,394
-63,-0.3,565
161,-0.3,1
665,-0.3,1
100,0.6,1
788,0.6,1
207,-1.2,2
188,1.9,1
131,2.2,1
61,0.1,53
66,0.1,30
984,0.1,2
-123,-0.1,15
-118,-0.1,25
-113,-0.1,21
-108,-0.1,38
-88,-0.1,151
-83,-0.1,308
-58,-0.1,399
-48,-0.1,293
-33,-0.1,429
-23,-0.1,444
-3,-0.1,669
6,-0.1,398
11,-0.1,327
31,-0.1,211
46,0.2,564
51,0.2,240
56,0.2,69
71,0.2,11
81,0.2,11
174,0.2,2
-148,-0.2,8
-78,-0.2,295
-68,-0.2,429
26,-0.2,570
88,-0.2,1
76,0.4,14
103,0.4,1
106,0.4,1
113,0.8,1
176,0.8,5
331,0.8,1
915,-0.8,1
19202,-7.7,1
